Name,Long,Lat
Institut für Mathematische Logik,7.6032744,51.965925
Fachbereich Wirtschaftswissenschaften,7.6198025,51.9619772
FB 2 Kath.-Theol. Fakultät,7.6226397,51.9626596
FB 3 Rechtswissenschaften,7.6206041,51.961741
Fachbereich 5: Medizin,7.6010794,51.9606985
FB 8 Geschichte/Philosophie,7.6232569,51.9618091
Philologie,7.6232315,51.9650051
FB 11 Physik,7.598431,51.9672295
Biologie,7.615201,51.965342
Institut für Mineralogie,7.596815,51.968266
Institut für Geologie und Paläontologie,7.5968279,51.9680535
Institut für Planetologie,7.5979709,51.9669865
Institut für Geophysik,7.596832,51.9684329
FB 12 AC/PC II,7.5977034,51.9679736
FB 12 AC/PC I,7.5983882,51.9679817
Institut für Kernphysik,7.5988636,51.9665516
Sozialberatung des Studentenwerks Münster,7.5759264,51.9758997
Institut für Theoretische Physik,7.5988482,51.9661313
FB 10 Mathematik,7.602632,51.9658042
Institut für Informatik,7.6032947,51.966231
Universitätsarchiv,7.6000056,51.9740914
Zentrum für Lehrerbildung WWU,7.6245879,51.9475301
AStA der Fachhochschule,7.6062173,51.9601016
Theaterlabor,7.606654,51.9499517
Germanistisches Institut,7.6188287,51.9644365
Zentrum für Didaktik der Biologie,7.6188335,51.9642807
Institut für Kanonisches Recht,7.6224918,51.9626117
Arbeitsbereich Linguistik,7.6081585,51.9604237
Mikrobiologie,7.5975691,51.9658814
Asia Minor,7.6197043,51.9599425
Institut für Anatomie,7.6060402,51.957587
Seminar für Fundamentaltheologie,7.6226152,51.9627344
Institut für Organisationsökonomik,7.6080194,51.9506397
Institut für Neutestamentliche Textforschung,7.6235026,51.9612592
Career Service,7.614349,51.964733
Hörsaal Biologie,7.6147741,51.9647206
Institut für Geographie,7.5957584,51.9694005
Institut für Biometrie und klinische Forschung,7.5909353,51.9590738
Institut für Arabistik und Islamwissenschaft,7.6232059,51.9650594
Tierschutzbeauftragter der Medizinischen Fakultät,7.5927311,51.9674303
Universitätsausschuss für Kunst und Kultur,7.6070744,51.9595142
Institut für Landschaftsökologie,7.5958017,51.9694963
Institut für Geoinformatik,7.595834,51.9695914
Institut für klassische Philologie,7.6227547,51.9618997
Institut für Kriminalwissenschaften,7.6209237,51.961
Fachschaft für Theologie,7.619346,51.9612168
Institut für Sinologie und Ostasienkunde,7.6232308,51.9649491
Kartensammlung Geowissenschaften,7.6132945,51.9643441
Aldous-Huxley- Forschungsstelle,7.622913,51.9611543
"Ombudsmann, Selbstkontrolle in der Wissenschaft",7.6037574,51.9598242
Arbeitsstelle Feministische Theologie und Genderforschung,7.6081541,51.9606602
International Office,7.6143575,51.9646248
Institut für vergleichende Städtegeschichte,7.6257323,51.9585454
Institut für mathematische Logik und Grundlagenforschung,7.6032928,51.9660631
Historisches Seminar,7.62291,51.962282
Seminar für Alte Geschichte,7.6231997,51.9622522
Institut für Finanzwissenschaften I /II,7.6185793,51.9622397
Leibniz-Forschungsstelle,7.6048673,51.9592287
Institut für Siedlungs- und Wohnungswesen,7.6180525,51.9612143
Institut für Internationale Ökonomie,7.619995,51.9617492
Seminar der Volkskunde,7.6083002,51.9507277
Fachschaft Pädagogik,7.6203137,51.9601691
Institut für Technik und ihre Didaktik,7.5987954,51.9671127
Arbeitsstelle Griechenland,7.6232252,51.9649109
Institut für ökumenische Theologie,7.6219048,51.9613531
Institut für Indogermanische Sprachwissenschaft,7.6227995,51.9648544
Forschungsstelle Gregor Von Nyssa,7.6235085,51.9613029
Institut für Indogermanische Sprachwissenschaften,7.6233141,51.9647832
Institut der Didaktik der Mathematik und der Informatik,7.5972906,51.9695283
Dekanat des Fachbereichs 9,7.6235566,51.9649463
Physikalisches Institut,7.5983743,51.9669606
Asta Sportreferat,7.6033676,51.9734524
Fachschaft Geoinformatik,7.5959119,51.9692826
Fachschaft Geographie/Landschaftsökologie,7.5959463,51.9693309
Fachschaft GHR,7.6031024,51.9731302
Brasilien-Zentrum der Universität Münster,7.601355,51.9762545
Fachhochschule Münster,7.6417805,51.9526384
Institut für Medizinische Informatik,7.5987979,51.9607498
Institut für Didaktik der Geographie,7.5955626,51.9695533
Centrum für biomedizinische Optik und Photonik,7.605951,51.9581653
Institut für molekulare Tumorbiologie,7.6061265,51.9585502
Zentrum für Islamische Theologie,7.6244376,51.9474311
Bewegungslabor OpenLab,7.5982694,51.9725643
"HO 41, Seminarraum",7.5982159,51.9723954
Bewegungswissenschaft,7.5997124,51.9709995
Institut für Kommunikationswissenschaft,7.6194686,51.9603265
Institut für Bioinformatik,7.6001009,51.9565276
Institut für Wirtschaftsinformatik,7.6032107,51.9732611
Zentrum für Informationsverabeitung,7.6038115,51.9660873
Zentrum für Informationsverarbeitung,7.5939432,51.9668551
Münster School of Design,7.6011072,51.9754701
Institut für Evolution und Biodiversität,7.6140307,51.9617508
FOM Hochschule Hochschulzentrum Münster,7.6512326,51.9339105
Fachschaft Jura,7.6203767,51.9617571
Fachschaft Mathe/Info,7.6037595,51.9664237
Prüfungsamt Mathe und Naturwissenschaften,7.6033536,51.9666151
